Time,Download Speed (mbps),Upload Speed (mbps),Ping
Mon May 16 14:33:15 2022,93,77,6.458
Mon May 16 14:38:33 2022,93,74,5.81
Mon May 16 14:43:33 2022,93,74,5.81
Mon May 16 14:48:33 2022,93,74,5.81
Mon May 16 14:53:33 2022,93,74,5.81
Mon May 16 14:58:33 2022,93,74,5.81
Mon May 16 15:03:33 2022,93,74,5.81
Mon May 16 15:08:33 2022,93,74,5.81
Mon May 16 15:13:33 2022,93,74,5.81
Mon May 16 15:18:33 2022,93,74,5.81
Mon May 16 15:23:33 2022,93,74,5.81
Mon May 16 15:28:33 2022,93,74,5.81
Mon May 16 15:33:33 2022,93,74,5.81
Mon May 16 15:35:41 2022,92,73,6.671
Mon May 16 15:40:41 2022,92,73,6.671
Mon May 16 15:45:41 2022,92,73,6.671
Mon May 16 15:50:41 2022,92,73,6.671
Mon May 16 15:55:41 2022,92,73,6.671
Mon May 16 16:00:41 2022,92,73,6.671
Mon May 16 16:05:41 2022,92,73,6.671
Mon May 16 16:10:41 2022,92,73,6.671
Mon May 16 16:15:41 2022,92,73,6.671
Mon May 16 16:20:41 2022,92,73,6.671
Mon May 16 16:25:41 2022,92,73,6.671
Mon May 16 16:30:41 2022,92,73,6.671
Mon May 16 16:35:41 2022,92,73,6.671
Mon May 16 16:40:41 2022,92,73,6.671
Mon May 16 16:45:41 2022,92,73,6.671
Mon May 16 16:50:41 2022,92,73,6.671
Mon May 16 16:55:41 2022,92,73,6.671
Mon May 16 17:00:41 2022,92,73,6.671
Mon May 16 17:05:41 2022,92,73,6.671
Mon May 16 17:10:41 2022,92,73,6.671
Mon May 16 17:15:41 2022,92,73,6.671
Mon May 16 17:20:41 2022,92,73,6.671
Mon May 16 17:25:41 2022,92,73,6.671
Mon May 16 17:30:41 2022,92,73,6.671
Mon May 16 17:35:41 2022,92,73,6.671
Mon May 16 17:40:41 2022,92,73,6.671
Mon May 16 17:45:41 2022,92,73,6.671
Mon May 16 17:50:41 2022,92,73,6.671
Mon May 16 17:55:41 2022,92,73,6.671
Mon May 16 18:00:41 2022,92,73,6.671
Mon May 16 18:05:41 2022,92,73,6.671
Mon May 16 18:10:41 2022,92,73,6.671
Mon May 16 18:15:41 2022,92,73,6.671
Mon May 16 18:18:49 2022,92,74,8.137
Mon May 16 18:23:49 2022,92,74,8.137
Mon May 16 18:25:39 2022,91,69,6.76
Mon May 16 18:30:39 2022,91,69,6.76
Mon May 16 18:38:38 2022,90,71,6.456
Mon May 16 18:52:03 2022,92,70,6.379
Mon May 16 19:00:44 2022,92,67,6.456
Mon May 16 19:07:52 2022,92,72,6.3
Mon May 16 19:12:52 2022,92,72,6.3
